iter	Passed	Remaining
0	120	299897
1	219	274460
2	311	259657
3	468	292343
4	626	312549
5	745	309783
6	854	304180
7	982	305898
8	1081	299207
9	1189	296274
10	1292	292520
11	1437	298129
12	1547	296056
13	1656	294225
14	1766	292667
15	1894	294087
16	2015	294389
17	2122	292707
18	2237	292190
19	2352	291745
20	2471	291755
21	2587	291495
22	2700	290803
23	2804	289365
24	2898	286975
25	2999	285449
26	3124	286203
27	3231	285287
28	3341	284679
29	3446	283757
30	3597	286492
31	3708	285989
32	3832	286538
33	3955	286898
34	4051	285376
35	4139	283345
36	4243	282468
37	4341	281256
38	4441	280279
39	4551	279886
40	4651	278983
41	4741	277479
42	4838	276483
43	4930	275214
44	5019	273837
45	5110	272646
46	5211	271972
47	5308	271189
48	5402	270222
49	5491	269090
50	5686	273057
51	5796	272867
52	5887	271824
53	5985	271122
54	6073	270012
55	6166	269129
56	6264	268503
57	6355	267605
58	6449	266819
59	6539	265924
60	6624	264873
61	6717	264161
62	6817	263733
63	6926	263627
64	7027	263272
65	7121	262632
66	7216	262071
67	7309	261439
68	7405	260924
69	7513	260810
70	7610	260360
71	7700	259663
72	7799	259318
73	7900	259020
74	7993	258442
75	8099	258326
76	8197	257947
77	8294	257559
78	8388	257079
79	8477	256453
80	8572	256012
81	8664	255511
82	8758	255054
83	8845	254419
84	8944	254119
85	9031	253510
86	9122	253025
87	9218	252679
88	9317	252409
89	9416	252145
90	9515	251900
91	9629	252034
92	9718	251531
93	9813	251188
94	9907	250809
95	9993	250257
96	10088	249916
97	10178	249481
98	10275	249198
99	10375	249021
100	10488	249116
101	10592	249038
102	10688	248744
103	10789	248577
104	10882	248217
105	10983	248053
106	11078	247759
107	11176	247536
108	11272	247273
109	11362	246870
110	11455	246546
111	11544	246135
112	11644	245972
113	11764	246224
114	11860	245978
115	11948	245560
116	12037	245183
117	12131	244899
118	12222	244557
119	12312	244202
120	12406	243921
121	12500	243663
122	12598	243460
123	12692	243209
124	12784	242903
125	12877	242632
126	12973	242408
127	13077	242340
128	13168	242032
129	13256	241674
130	13352	241468
131	13457	241422
132	13550	241156
133	13653	241074
134	13763	241108
135	13885	241365
